PermitNum,MasterPermitNum,Description,AppliedDate,IssuedDate,CompletedDate,StatusCurrent,OriginalAddress,OriginalCity,OriginalState,OriginalZip,PIN,ProjectName,PermitType,PermitWorkType,EstProjectCost,EstPhotovoltaicCost,EstSolarCost,NewHousingUnits,ExistingHousingUnits,AffordableHousingUnits,RemovedHousingUnits,AddedSqFt,RemodeledSqFt,RemovedResSqFt,RemovedNonResSqFt,RemovedParkingStructureSqFt,RemovedDescription,PhotovoltaicKilowatt,PhotovoltaicElecVehicleOffset,ElecVehicleChargeStation,SolarSystemDescription,ContractorCompanyName,ContractorTrade,ObjectId
MEC2021-00499,,Installation of a new inverter ducted split air source heat pump system,3/22/2021,,,Pending at Applicant,2500 MEADOW AVE,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical HVAC/Solar,15411.76,,,,,,,,,,,,,,,,,BLUE VALLEY ENERGY,Contractor: Mechanical,123
MEC2021-00468,BLD-SFD2021-00116,"The project is the demolition of an existing 1,788 sf, single story  wood framed residence, with walk out basement.  Project proposes to construct new 2 story 2,992 sf wood  framed  4 bedroom residence with walk out basement.",3/17/2021,,,Received,543 DEWEY AVE,BOULDER,CO,80304,1.46125E+11,,Mechanical Permit,Mechanical Sub-Permit,125000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,124
MEC2021-00469,,Install new Minisplit System.,3/17/2021,3/18/2021,,Issued,1430 KINGWOOD PL,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical HVAC/Solar,6496,,,,,,,,,,,,,,,,,"SAVE HOME HEAT CO, INC",Contractor: General,125
MEC2021-00470,,Install New AC,3/17/2021,3/18/2021,,Issued,2135 GODDARD PL,BOULDER,CO,80305,1.57707E+11,,Mechanical Permit,Mechanical HVAC/Solar,4945,,,,,,,,,,,,,,,,,"SAVE HOME HEAT CO, INC",Contractor: General,126
MEC2021-00471,,Replace furnace Like for Like,3/17/2021,3/18/2021,,Issued,1770 LOMBARDY DR,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical HVAC/Solar,4941,,,,,,,,,,,,,,,,,"SAVE HOME HEAT CO, INC",Contractor: General,127
MEC2021-00472,,"Replacing existing furnace with 80%, 125K BTU, gas furnace.",3/17/2021,,,Payment Pending,5397 WILD DUNES CT,BOULDER,CO,80301,1.46312E+11,,Mechanical Permit,Mechanical HVAC/Solar,4495.4,,,,,,,,,,,,,,,,,BLUE VALLEY ENERGY,Contractor: Mechanical,128
MEC2021-00473,BLD-ACC2021-00031,Convert existing upper level studio above detached garage into a 315 sf ADU w/ efficiency kitchen and 3/4 bath. No exterior modifications to the existing structure. ADU approved under AUR2020-00058,3/17/2021,,,Received,3171 9TH ST,BOULDER,CO,80304,1.46124E+11,,Mechanical Permit,Mechanical Sub-Permit,3500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,129
MEC2021-00474,,Mechanical 40 gallon water heater,3/17/2021,,,Pending at Applicant,4800 OSAGE DR,BOULDER,CO,80303,1.57704E+11,,Mechanical Permit,Mechanical HVAC/Solar,0,,,,,,,,,,,,,,,,,MESA PLUMBING & MECHANICAL INC,Contractor: Plumbing,130
MEC2021-00475,BLD-NRE2021-00037,"1580 square foot Tenant improvement that includes new wall/floor/ceiling finishes and modification of Electrical, Lighting, Mechanical, and Sprinkler systems.",3/17/2021,,,Received,1505 PEARL ST,BOULDER,CO,80302,1.4633E+11,,Mechanical Permit,Mechanical Sub-Permit,7000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,131
MEC2021-00476,BLD-SFD2021-00119,"104 sqft level 2 alteration of an existing main level interior of a single family dwelling to include renovation of an existing bath, a new entry into an existing bedroom, and a new closet. Scope also includes replacement of existing windows and exterior doors with new efficient units.",3/17/2021,,,Received,3552 KIRKWOOD PL,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical Sub-Permit,1500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,132
MEC2021-00477,BLD-SFD2021-00120,120 sf bathroom remodel on second floor for a single family dwelling. Scope includes the conversion of the master bath into two separate baths. Addition of one shower and one toilet and relocating current fixtures.,3/17/2021,,,Received,56 GENESEE CT,BOULDER,CO,80303,1.57704E+11,,Mechanical Permit,Mechanical Sub-Permit,500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,133
MEC2021-00478,BLD-SFD2021-00118,"Main floor remodel of 1,162 sf, to include kitchen. Master bedroom and bath permitted through BLD-SFD2020-00362.",3/17/2021,,,Received,3805 NEWPORT LN,BOULDER,CO,80304,1.46113E+11,,Mechanical Permit,Mechanical Sub-Permit,3200,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,134
MEC2021-00479,BLD-SFD2021-00121,"Addition includes new basement level with relocated mechanical systems and storage (438 sq.ft.), main level with new kitchen and living room (347 sq. ft.) and upper level with new bedroom and bath (189 sq. ft.). Alteration / renovation includes main floor bath and new powder, and upper floor master bath. New windows, siding, front cantilevered balcony, entry roof, and uncovered deck at back of house.",3/17/2021,,,Received,3122 10TH ST,BOULDER,CO,80304,1.46124E+11,,Mechanical Permit,Mechanical Sub-Permit,45000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,135
PLB2021-00151,,40 gallon water heater,3/17/2021,,,Pending at Applicant,4800 OSAGE DR,BOULDER,CO,80303,1.57704E+11,,Plumbing Permit,Plumbing Permit,0,,,,,,,,,,,,,,,,,MESA PLUMBING & MECHANICAL INC,Contractor: Plumbing,136
PLB2021-00152,BLD-SFD2021-00116,"The project is the demolition of an existing 1,788 sf, single story  wood framed residence, with walk out basement.  Project proposes to construct new 2 story 2,992 sf wood  framed  4 bedroom residence with walk out basement.",3/17/2021,,,Received,543 DEWEY AVE,BOULDER,CO,80304,1.46125E+11,,Plumbing Permit,Plumbing Sub-Permit,50000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,137
PLB2021-00153,BLD-ACC2021-00031,Convert existing upper level studio above detached garage into a 315 sf ADU w/ efficiency kitchen and 3/4 bath. No exterior modifications to the existing structure. ADU approved under AUR2020-00058,3/17/2021,,,Received,3171 9TH ST,BOULDER,CO,80304,1.46124E+11,,Plumbing Permit,Plumbing Sub-Permit,3500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,138
PLB2021-00154,,excavate and shoot line from house to city tap 8 feet deep and 70 feet length,3/17/2021,,,Pending at Applicant,1795 GILLASPIE DR,BOULDER,CO,80305,1.57717E+11,,Plumbing Permit,Plumbing Permit,13175,,,,,,,,,,,,,,,,,ROTO ROOTER SERVICES COMPANY,Contractor: Plumbing,139
PLB2021-00155,BLD-SFD2021-00117,Remodel of two bathrooms in a single family detached dwelling.,3/17/2021,3/22/2021,,Issued,2215 MESA DR,BOULDER,CO,80304,1.46331E+11,,Plumbing Permit,Plumbing Sub-Permit,4289,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,140
PLB2021-00156,BLD-SFD2021-00119,"104 sqft level 2 alteration of an existing main level interior of a single family dwelling to include renovation of an existing bath, a new entry into an existing bedroom, and a new closet. Scope also includes replacement of existing windows and exterior doors with new efficient units.",3/17/2021,,,Received,3552 KIRKWOOD PL,BOULDER,CO,80304,1.46319E+11,,Plumbing Permit,Plumbing Sub-Permit,3500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,141
PLB2021-00157,BLD-SFD2021-00120,120 sf bathroom remodel on second floor for a single family dwelling. Scope includes the conversion of the master bath into two separate baths. Addition of one shower and one toilet and relocating current fixtures.,3/17/2021,,,Received,56 GENESEE CT,BOULDER,CO,80303,1.57704E+11,,Plumbing Permit,Plumbing Sub-Permit,4000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,142
PLB2021-00158,BLD-SFD2021-00118,"Main floor remodel of 1,162 sf, to include kitchen. Master bedroom and bath permitted through BLD-SFD2020-00362.",3/17/2021,,,Received,3805 NEWPORT LN,BOULDER,CO,80304,1.46113E+11,,Plumbing Permit,Plumbing Sub-Permit,3000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,143
PLB2021-00159,BLD-SFD2021-00121,"Addition includes new basement level with relocated mechanical systems and storage (438 sq.ft.), main level with new kitchen and living room (347 sq. ft.) and upper level with new bedroom and bath (189 sq. ft.). Alteration / renovation includes main floor bath and new powder, and upper floor master bath. New windows, siding, front cantilevered balcony, entry roof, and uncovered deck at back of house.",3/17/2021,,,Received,3122 10TH ST,BOULDER,CO,80304,1.46124E+11,,Plumbing Permit,Plumbing Sub-Permit,65000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,144
RFG2021-00080,,"*Total tear-off & reroof of SFD, 23.1 squares of EPDM shingles on a pitch represented as 2/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots.BUILDING ""D"" on attachment.  Permits to be pulled for Buildings A, B, C.",3/17/2021,3/18/2021,,Issued,2625 TABRIZ PL,BOULDER,CO,80304,1.4632E+11,,Roofing Replacement Permit,Roofing Replacement Permit,30072.52,,,,,,,,,,,,,,,,,WESTPRO ROOFING,Contractor: General,145
RFG2021-00081,,"*Total tear-off & reroof of SFD, 21.2 squares of EPDM shingles on a pitch represented as 2/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots.BUILDING A on attachment.",3/17/2021,3/18/2021,,Issued,2630 IRIS AVE,BOULDER,CO,80304,1.4632E+11,,Roofing Replacement Permit,Roofing Replacement Permit,28630.54,,,,,,,,,,,,,,,,,WESTPRO ROOFING,Contractor: General,146
RFG2021-00082,,"*Total tear-off & reroof of SFD, 16.5 squares of EPDM shingles on a pitch represented as 2/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots. Building ""B"" on attachment.  Separate permits being pulled for buildings A, C, D.",3/17/2021,3/18/2021,,Issued,2650 IRIS AVE,BOULDER,CO,80304,1.4632E+11,,Roofing Replacement Permit,Roofing Replacement Permit,21725.71,,,,,,,,,,,,,,,,,WESTPRO ROOFING,Contractor: General,147
RFG2021-00083,,"*Total tear-off & reroof of SFD, 17.2 squares of EPDM shingles on a pitch represented as 2/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots.BUILDING ""C"" on attachment.  Separate permits being pulled for buildings A, B, D.",3/17/2021,3/18/2021,,Issued,2645 TABRIZ PL,BOULDER,CO,80304,1.4632E+11,,Roofing Replacement Permit,Roofing Replacement Permit,20312.22,,,,,,,,,,,,,,,,,WESTPRO ROOFING,Contractor: General,148
RFG2021-00084,,"*Total tear-off & reroof of SFD, 22 squares of dimensional shingles on a pitch represented as 4/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots.",3/17/2021,3/22/2021,,Issued,2350 NORWOOD AVE,BOULDER,CO,80304,1.46318E+11,,Roofing Replacement Permit,Roofing Replacement Permit,7746,,,,,,,,,,,,,,,,,BLACK ROOFING INC,Contractor: Roofing,149
SGN2021-00027,,Channel letters signage on front exterior wall. Unit N,3/17/2021,,,In Review,2850 IRIS AVE,BOULDER,CO,80301,1.4632E+11,,Sign Permit,Sign Permit,4410,,,,,,,,,,,,,,,,,KEITH HAWKS SIGNS INC,Contractor: Sign,150
UTL2021-00279,BLD-SFD2021-00116,"The project is the demolition of an existing 1,788 sf, single story  wood framed residence, with walk out basement.  Project proposes to construct new 2 story 2,992 sf wood  framed  4 bedroom residence with walk out basement.",3/17/2021,,,Received,543 DEWEY AVE,BOULDER,CO,80304,1.46125E+11,,Utility Permit,Utility Sub-Permit,0,,,,,,,,,,,,,,,,,JA LONG CONSTRUCTION,Contractor: General,151
ELE2021-00402,BLD-SFD2021-00131,"Removal of unpermitted ADU, associated with ENF2020-00792. To include removal of range, outlet (cap and remove breaker) and refrigerator. Utility sink to remain.",3/18/2021,,,Received,3160 5TH ST,BOULDER,CO,80304,1.46124E+11,,Electrical Permit,Electrical Sub-Permit,75,,,,,,,,,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,152
MEC2021-00500,,Install new Heat Pump,3/22/2021,3/23/2021,,Issued,655 PLEASANT ST,BOULDER,CO,80302,1.46136E+11,,Mechanical Permit,Mechanical HVAC/Solar,7319,,,,,,,,,,,,,,,,,"SAVE HOME HEAT CO, INC",Contractor: General,153
ELE2021-00403,BLD-NRE2021-00041,Exterior trellis addition over existing seating area and new mood (festoon) lighting over seating at Whole Foods. Related to ADR2021-00052.,3/18/2021,,,Received,695 S BROADWAY,BOULDER,CO,80305,1.57708E+11,,Electrical Permit,Electrical Sub-Permit,18982,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,154
MEC2021-00501,,"Install Boiler, water heater and expansion tank",3/22/2021,,,Pending at Applicant,2345 PINE ST,BOULDER,CO,80302,1.46331E+11,,Mechanical Permit,Mechanical HVAC/Solar,13194,,,,,,,,,,,,,,,,,BERNIE'S PLUMBING & HEATING CO,Contractor: Mechanical,155
FIR2021-00096,,"Additions/ modifications to the existing fire alarm system in a non-sprinkler protected building. Adding a power supply, strobes and horn/strobes to accommodate a tenant finish. See BLD-NRE2020-00163 for general building permit. STAHLY LLC SUITE 302",3/18/2021,3/19/2021,,Issued,207 CANYON BLVD 302,BOULDER,CO,80302,1.46125E+11,,Fire Permit,Fire Permit,2500,,,,,,,,,,,,,,,,,Ultimate Fire Protection,Contractor: Fire,156
MEC2021-00502,,Replace furnace and central AC,3/22/2021,,,Payment Pending,360 32ND ST,BOULDER,CO,80305,1.57705E+11,,Mechanical Permit,Mechanical HVAC/Solar,8710,,,,,,,,,,,,,,,,,MEYERS HEATING AND A/C,Contractor: Mechanical,157
MEC2021-00480,BLD-SFD2021-00122,"Conversion of 140 sf unfinished storage area in basement into new bathroom with tub, shower, water closet and vanity. Current space is conditioned.",3/18/2021,,,Received,3677 CHASE CT,BOULDER,CO,80305,1.57705E+11,,Mechanical Permit,Mechanical Sub-Permit,150,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,158
MEC2021-00481,,Install replacement 40 gallon water heater,3/18/2021,3/19/2021,,Issued,2236 VIOLET AVE,BOULDER,CO,80304,1.46318E+11,,Mechanical Permit,Mechanical HVAC/Solar,3245,,,,,,,,,,,,,,,,,PRECISION PLUMBING & HEATING,Contractor: Mechanical,159
MEC2021-00482,BLD-SFD2021-00123,"Project consists of an addition and full house remodel of an existing two-story single family residence with main level living space and garage/finished basement at the lower level. Renovation work includes the removal and replacement of existing garage/kitchen wing; relocation of bathrooms on the main level (1208 SF), renovation of the basement studio space (924 SF), and new fixtures + finishes throughout. The existing area of the home in the setback is to remain. Addition includes a new master suite, office, and powder room on the main level totaling 917sf, and a new mudroom, exercise room, powder room, and storage at the basement level totaling 916 sf. All windows, doors, and exterior finishes will be replaced, and new roofs will be installed.",3/18/2021,,,Received,850 CIRCLE DR,BOULDER,CO,80302,1.46136E+11,,Mechanical Permit,Mechanical Sub-Permit,80000,,,,,,,,,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,160
MEC2021-00483,BLD-NRE2021-00039,"Tenant interior remodel for Speculative Suite. Project to include addition of breakroom, an office, a small conference room, and associated MEP scopes..",3/18/2021,,,Received,3005 CENTER GREEN DR,BOULDER,CO,80301,1.4632E+11,,Mechanical Permit,Mechanical Sub-Permit,3500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,161
MEC2021-00484,BLD-SFD2021-00126,"New two-story residence with garage and partial basement.  3,085 sq ft first floor includes garage, kitchen, living, dining, flex/guest suite, and master suite.  701 sq ft upper floor includes guest suite and office.  453 sq ft basement includes storage and laundry room.",3/18/2021,,,Received,2587 3RD ST,BOULDER,CO,80304,1.46125E+11,,Mechanical Permit,Mechanical Sub-Permit,142535,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,162
MEC2021-00485,,Replacement of furnace and central AC,3/18/2021,,,Payment Pending,2315 FOREST AVE,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical HVAC/Solar,6640,,,,,,,,,,,,,,,,,MEYERS HEATING AND A/C,Contractor: Mechanical,163
MEC2021-00486,BLD-SFD2021-00128,"261 sf kitchen remodel that includes removing wall between kitchen and dining room. 90 sf upper bathroom remodel that includes removal of a non-load bearing wall, minimal movement of plumbing fixtures, and replacement of existing light fixtures.",3/18/2021,,,Received,920 SYCAMORE AVE,BOULDER,CO,80303,1.46333E+11,,Mechanical Permit,Mechanical Sub-Permit,4000,,,,,,,,,,,,,,,,,Elizabeth Parsons,Owner/Contractor,164
MEC2021-00487,BLD-SFD2021-00129,"New 8,430sf single family residence which includes 1,275 sf of attached garages on 48,588 sf lot. Proposed swimming pool, spa and accessory building/pool house under separate permits.",3/18/2021,,,Received,604 KALMIA AVE,BOULDER,CO,80304,1.46124E+11,,Mechanical Permit,Mechanical Sub-Permit,140000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,165
MEC2021-00488,BLD-SFD2021-00130,Interior alteration of a room originally constructed as a study in a single family detached dwelling constructed in 2019.  Scope includes remodel of the area for two new bedrooms and a bath.,3/18/2021,,,Received,1810 NORWOOD AVE,BOULDER,CO,80304,1.46319E+11,,Mechanical Permit,Mechanical Sub-Permit,500,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,166
MEC2021-00489,BLD-MFD2021-00016,3-unit residential multi-family dwelling with new stair tower addition.,3/18/2021,,,Received,946 SPRUCE ST,BOULDER,CO,80302,1.46125E+11,,Mechanical Permit,Mechanical Sub-Permit,55000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,167
MEC2021-00490,,"Replace 40 gallon gas water heater with new ""like for like""",3/18/2021,3/22/2021,,Issued,3880 COLORADO AVE I,BOULDER,CO,80303,1.46332E+11,,Mechanical Permit,Mechanical HVAC/Solar,3000,,,,,,,,,,,,,,,,,TYCO PLUMBING CORPORATION,Contractor: Plumbing,168
PLB2021-00160,BLD-SFD2021-00122,"Conversion of 140 sf unfinished storage area in basement into new bathroom with tub, shower, water closet and vanity. Current space is conditioned.",3/18/2021,,,Received,3677 CHASE CT,BOULDER,CO,80305,1.57705E+11,,Plumbing Permit,Plumbing Sub-Permit,3550,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,169
PLB2021-00161,BLD-SFD2021-00123,"Project consists of an addition and full house remodel of an existing two-story single family residence with main level living space and garage/finished basement at the lower level. Renovation work includes the removal and replacement of existing garage/kitchen wing; relocation of bathrooms on the main level (1208 SF), renovation of the basement studio space (924 SF), and new fixtures + finishes throughout. The existing area of the home in the setback is to remain. Addition includes a new master suite, office, and powder room on the main level totaling 917sf, and a new mudroom, exercise room, powder room, and storage at the basement level totaling 916 sf. All windows, doors, and exterior finishes will be replaced, and new roofs will be installed.",3/18/2021,,,Received,850 CIRCLE DR,BOULDER,CO,80302,1.46136E+11,,Plumbing Permit,Plumbing Sub-Permit,85000,,,,,,,,,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,170
PLB2021-00162,BLD-SFD2021-00124,"Remodel of existing 180 sf kitchen, to include new lighting configuration, re-routing of existing plumbing and removal of walls",3/18/2021,,,Received,931 TELLER CIR,BOULDER,CO,80303,1.46333E+11,,Plumbing Permit,Plumbing Sub-Permit,3500,,,,,,,,,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,171
PLB2021-00163,BLD-NRE2021-00039,"Tenant interior remodel for Speculative Suite. Project to include addition of breakroom, an office, a small conference room, and associated MEP scopes..",3/18/2021,,,Received,3005 CENTER GREEN DR,BOULDER,CO,80301,1.4632E+11,,Plumbing Permit,Plumbing Sub-Permit,6000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,172
PLB2021-00164,BLD-SFD2021-00126,"New two-story residence with garage and partial basement.  3,085 sq ft first floor includes garage, kitchen, living, dining, flex/guest suite, and master suite.  701 sq ft upper floor includes guest suite and office.  453 sq ft basement includes storage and laundry room.",3/18/2021,,,Received,2587 3RD ST,BOULDER,CO,80304,1.46125E+11,,Plumbing Permit,Plumbing Sub-Permit,76900,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,173
PLB2021-00165,BLD-SFD2021-00128,"261 sf kitchen remodel that includes removing wall between kitchen and dining room. 90 sf upper bathroom remodel that includes removal of a non-load bearing wall, minimal movement of plumbing fixtures, and replacement of existing light fixtures.",3/18/2021,,,Received,920 SYCAMORE AVE,BOULDER,CO,80303,1.46333E+11,,Plumbing Permit,Plumbing Sub-Permit,8000,,,,,,,,,,,,,,,,,Elizabeth Parsons,Owner/Contractor,174
PLB2021-00166,BLD-SFD2021-00129,"New 8,430sf single family residence which includes 1,275 sf of attached garages on 48,588 sf lot. Proposed swimming pool, spa and accessory building/pool house under separate permits.",3/18/2021,,,Received,604 KALMIA AVE,BOULDER,CO,80304,1.46124E+11,,Plumbing Permit,Plumbing Sub-Permit,40000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,175
PLB2021-00167,BLD-SFD2021-00130,Interior alteration of a room originally constructed as a study in a single family detached dwelling constructed in 2019.  Scope includes remodel of the area for two new bedrooms and a bath.,3/18/2021,,,Received,1810 NORWOOD AVE,BOULDER,CO,80304,1.46319E+11,,Plumbing Permit,Plumbing Sub-Permit,10000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,176
PLB2021-00168,BLD-MFD2021-00016,3-unit residential multi-family dwelling with new stair tower addition.,3/18/2021,,,Received,946 SPRUCE ST,BOULDER,CO,80302,1.46125E+11,,Plumbing Permit,Plumbing Sub-Permit,45000,,,,,,,,,,,,,,,,,Contractor of Record Not Designated,,177
PLB2021-00169,BLD-SFD2021-00131,"Removal of unpermitted ADU, associated with ENF2020-00792. To include removal of range, outlet (cap and remove breaker) and refrigerator. Utility sink to remain.",3/18/2021,,,Received,3160 5TH ST,BOULDER,CO,80304,1.46124E+11,,Plumbing Permit,Plumbing Sub-Permit,500,,,,,,,,,,,,,,,,,Waiting for Licensed Contractor,Contractor: General,178
RFG2021-00085,,"*Total tear-off & reroof of SFD, 21 squares of dimensional shingles on a pitch represented as 4/12. All roof materials shall be installed per manufacturer?s specs.  Mid-roof inspection required if pitch is less than 4/12. All roof covering materials shall be listed as Class A as tested in accordance with UL Standard 790 or ASTM Standard E 108. At inspection, provide to building inspection staff original wrappers of materials used or applied. Provide additional information -- such as manufacturer's cut sheet for other products used - including, but not limited to, items such as flashing, valley material, sealants, fasteners, ventilation devices or features and roof jacks & penetration boots.",3/18/2021,3/22/2021,,Issued,3295 EASTMAN AVE,BOULDER,CO,80305,1.57705E+11,,Roofing Replacement Permit,Roofing Replacement Permit,9000,,,,,,,,,,,,,,,,,GATES ENTERPRISES LLC,Contractor: Roofing,179
ROW2021-00274,,"Occupancy only on the east side of Broadway St, in front of address, to work in existing transformer, job# 105244735",3/18/2021,3/22/2021,,Issued,3198 BROADWAY,BOULDER,CO,80304,1.46319E+11,,Right-of-Way Permit,Right-of-Way Permit,0,,,,,,,,,,,,,,,,,Xcel Energy,Contractor: Right-of-Way,180
ROW2021-00275,,"INSTALL GAS SERVICE.  5' X 5' STREET CUT WITH (2) POTHOLES, job# 105683575",3/18/2021,,,Received,2106 KNOLLWOOD DR,BOULDER,CO,80302,1.46125E+11,,Right-of-Way Permit,Right-of-Way Permit,0,,,,,,,,,,,,,,,,,Xcel Energy,Contractor: Right-of-Way,181
UTL2021-00280,BLD-SFD2021-00126,"New two-story residence with garage and partial basement.  3,085 sq ft first floor includes garage, kitchen, living, dining, flex/guest suite, and master suite.  701 sq ft upper floor includes guest suite and office.  453 sq ft basement includes storage and laundry room.",3/18/2021,,,Received,2587 3RD ST,BOULDER,CO,80304,1.46125E+11,,Utility Permit,Utility Sub-Permit,0,,,,,,,,,,,,,,,,,HARRINGTON STANKO LLC,Contractor: General,182
UTL2021-00281,BLD-SFD2021-00129,"New 8,430sf single family residence which includes 1,275 sf of attached garages on 48,588 sf lot. Proposed swimming pool, spa and accessory building/pool house under separate permits.",3/18/2021,,,Received,604 KALMIA AVE,BOULDER,CO,80304,1.46124E+11,,Utility Permit,Utility Sub-Permit,0,,,,,,,,,,,,,,,,,Sugarloaf Building Co,Contractor: General,183
BLD-ACC2021-00031,,Convert existing upper level studio above detached garage into a 315 sf ADU w/ efficiency kitchen and 3/4 bath. No exterior modifications to the existing structure. ADU approved under AUR2020-00058,3/17/2021,,,Pending at Applicant,3171 9TH ST,BOULDER,CO,80304,1.46124E+11,,Building Permit - Accessory,Remodel,16016.56,,,,,,,,259,,,,,,,,,DALY & DALY ENTERPRISES LLC,Contractor: General,184
BLD-ACC2021-00032,,Second floor rear deck expansion for a single family detached dwelling.,3/17/2021,,,In Review,765 10TH ST,BOULDER,CO,80302,1.46331E+11,,Building Permit - Accessory,Addition,1750,,,,,,,66,,,,,,,,,,Jim Reichert,Owner/Contractor,185
BLD-ACC2021-00033,,"Addition of 5' x 8' exterior, uncovered, above-grade decks w/ railings to each of the 20 apartments in the Merritt Townhomes complex. Scope includes replacement of existing exterior windows with new glass sliding doors to access decks. Reference ADR2020-00098.",3/17/2021,,,In Review,5095 MERRITT DR,BOULDER,CO,80303,1.46333E+11,,Building Permit - Accessory,Addition,4000,,,,20,,,40,,,,,,,,,,VAN MATRE CONSTRUCTION LLC,Contractor: General,186
BLD-ACC2021-00034,,"New detached, alley loaded two-car garage (490 sq. ft.).",3/17/2021,,,Pending at Applicant,3122 10TH ST,BOULDER,CO,80304,1.46124E+11,,Building Permit - Accessory,New,80000,,,,,,,490,,,,,,,,,,COTTONWOOD CUSTOM BUILDERS INC,Contractor: General,187
BLD-ACC2021-00040,,"Addition of 5' x 8' exterior, uncovered, above-grade decks w/ railings to each of the 20 apartments in the Merritt Townhomes complex. Scope includes replacement of existing exterior windows with new glass sliding doors to access decks. Reference ADR2020-00098.",3/17/2021,,,In Review,5075 MERRITT DR,BOULDER,CO,80303,1.46333E+11,,Building Permit - Accessory,Addition,4000,,,,20,,,40,,,,,,,,,,VAN MATRE CONSTRUCTION LLC,Contractor: General,188
